window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
28,test,87,11046.0,0.9637133377208243,0.025640117038275644,0.010646545240900024,0.9999999751679307,9.999999904743807e-09,1.4832069250239278e-08,2.4232218990816644e-06,0.9971109953212128,0.0028865814568881827,0.6545719120368848,0.3409170407864961,0.004511047176619152
29,test,316,11047.0,0.9797401765117442,0.01340233598635012,0.006857487501905728,0.9999999800000005,9.999999808488322e-09,9.999999808488322e-09,4.1858771088166764e-07,0.9986887484810067,0.0013108329312824414,0.6599135250331518,0.33736369815578554,0.002722776811062659
30,test,630,11048.0,0.9894274643863531,0.006411148901281555,0.004161386712365378,0.9999999800000006,9.99999980035291e-09,9.99999980035291e-09,6.216955360502472e-08,0.9994459480586324,0.0005539897718140511,0.6631425021853024,0.3352857023199713,0.00157179549472641
31,test,954,11049.0,0.9948217434636204,0.0027998763738699456,0.0023783801625096544,0.9999999800000006,9.999999800010788e-09,9.999999800010788e-09,9.99999997899038e-09,0.9997825887596368,0.00021740124036328382,0.6649405778212069,0.3341941583778355,0.0008652638009575792
32,test,810,11050.0,0.9976077244091597,0.001113086555573254,0.0012791890352669441,0.9999999800000006,9.999999800000243e-09,9.999999800000243e-09,9.99999990854093e-09,0.9999209648568153,7.902514318471098e-05,0.6658692381363868,0.3336780204707961,0.0004527413928171517
33,test,767,11051.0,0.9989520482733151,0.0004014187755157543,0.0006465329511692024,0.9999999800000006,9.99999980000001e-09,9.99999980000001e-09,9.99999990078172e-09,0.9999734500071432,2.6539992856799303e-05,0.6663173460911052,0.33345829292755286,0.00022436098134193385
34,test,1131,11052.0,0.9995626905200261,0.00013080665486663024,0.0003065028251073336,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.999999900060239e-09,0.9999917764404059,8.21355959405551e-06,0.6665208935066755,0.33337419769842414,0.00010490879490039638
35,test,1742,11053.0,0.9998256589227168,3.835024959912805e-05,0.00013599082768411914,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.999999900003885e-09,0.9999976538165443,2.3361834557083804e-06,0.6666085496409058,0.33334533802204774,4.6112337046542506e-05
36,test,1843,11054.0,0.9999335944623006,1.007096392507666e-05,5.633457377445235e-05,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.99999990000021e-09,0.9999993809241347,6.090758654010494e-07,0.6666445281541004,0.33333648729601983,1.8984549879884468e-05
37,test,1881,11055.0,0.9999759077062915,2.358043038983045e-06,2.173425066952482e-05,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.999999900000008e-09,0.9999998448335028,1.4516649722833234e-07,0.6666586325687639,0.33333407095884715,7.296472388851049e-06
38,test,1471,11056.0,0.9999917204729096,4.900063949004372e-07,7.789520695476771e-06,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.9999999e-09,0.9999999584548388,3.1545161226239434e-08,0.66666390349097,0.3333334861537445,2.6103552855010034e-06
39,test,1005,11057.0,0.9999973232939129,8.995031187900001e-08,2.586755775297012e-06,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.99999986233199e-09,0.9999999800000003,9.99999986233199e-09,0.6666657710979711,0.33333335998343727,8.689185916531144e-07
40,test,909,11058.0,0.999999191597789,1.4518836460898079e-08,7.938833745899646e-07,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.999999811169703e-09,0.9999999800000005,9.999999811169703e-09,0.6666663938659297,0.3333333348396122,2.7129445806704474e-07
41,test,803,11059.0,0.9999997654098105,9.999999920509957e-09,2.245901896236827e-07,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.999999801810364e-09,0.9999999800000006,9.999999801810364e-09,0.6666665851366035,0.33333333333333337,8.153006307516433e-08
42,test,1428,11060.0,0.9999999315838161,9.999999902523925e-09,5.8416184086297256e-08,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.999999800264685e-09,0.9999999800000006,9.999999800264685e-09,0.6666666405279388,0.3333333333333334,2.6138727895520652e-08
43,test,284,11061.0,0.9999999760665332,9.999999900269302e-09,1.3933466760384697e-08,0.9999999800000006,9.999999800000005e-09,9.999999800000005e-09,9.99999980003482e-09,0.9999999800000006,9.99999980003482e-09,0.6666666553555112,0.3333333333333334,1.1311155453473173e-08
