window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
25,test,144,1455926400.0,0.30417579649392523,0.5948767648214356,0.10094743868463914,0.1334219078553688,0.6271548992967911,0.23942319284784008,0.10180531506960949,0.5798121517507867,0.31838253317960374,0.17980100647296782,0.6006146052896711,0.219584388237361
26,test,144,1456012800.0,0.300622575211502,0.6039153065133621,0.09546211827513601,0.127588792109568,0.6380373545158659,0.23437385337456618,0.09634811662898114,0.5882755044028312,0.3153763789681877,0.17485316131668371,0.6100760551440197,0.21507078353929665
27,test,144,1456099200.0,0.29696923566804073,0.612798934743104,0.09023182958885535,0.12194358558222988,0.6487516080068743,0.22930480641089598,0.09114293876758332,0.596597236438564,0.3122598247938527,0.17001858667261796,0.6193825930628475,0.2105988202645347
28,test,144,1456185600.0,0.29322492948167506,0.6215263206940237,0.0852487498243012,0.11648532934742412,0.6592902079168665,0.22422446273570928,0.0861819345315439,0.6047767997801693,0.3090412656882869,0.16529739778688102,0.6285311094636866,0.20617149274943247
29,test,144,1456272000.0,0.2893985598671436,0.6300965392067107,0.08050490092614578,0.1112126598970442,0.6696463845714227,0.21914095553153307,0.08145712949237445,0.6128139743546666,0.30572889615295895,0.16068944975218744,0.6375189660442667,0.20179158420354595
30,test,144,1456358400.0,0.2854987610998043,0.6385090405436805,0.0759921983565152,0.10612383334675829,0.6798140503064006,0.21406211634684105,0.07696046775322478,0.6207088414113557,0.3023306908354196,0.1561943540665958,0.646343977420479,0.19746166851292526
31,test,144,1456444800.0,0.2815338814968178,0.6467636224518932,0.071702496051289,0.10121675074111505,0.6897877949571476,0.2089954543017373,0.07268385414941422,0.6284617575190911,0.29885438833149475,0.15181149546244901,0.6550043916427106,0.19318411289484036
32,test,144,1456531200.0,0.27751196969713554,0.6548604027450581,0.06762762755780632,0.09648898416540591,0.6995628773126024,0.20394813852199167,0.06861919267774769,0.636073329404333,0.29530747791791917,0.14754004884676308,0.6634988698206645,0.18896108133257242
33,test,144,1456617600.0,0.27344076400963097,0.6627997925940319,0.06375944339633707,0.09193780338346652,0.7091352128671216,0.19892698374941198,0.06475842122906833,0.6435443897608008,0.291697189010131,0.14337899620738861,0.6718264650739848,0.1847945387186267
34,test,144,1456704000.0,0.26932768459152934,0.6705824706816996,0.060089844726770994,0.0875602027354308,0.7185013582212253,0.19393843904334393,0.0610935427318347,0.6508759741336433,0.2880304831345221,0.13932714335293162,0.6799866010121893,0.18068625563487903
35,test,144,1456790400.0,0.26517982821658725,0.6782093583489042,0.05661081343450859,0.08335292804694915,0.7276584924940911,0.18898857945895972,0.057616652841629645,0.6580692989555527,0.28431404820281775,0.1353831363683887,0.6879790499328493,0.176637813698762
36,test,144,1456876800.0,0.26100396539360987,0.6856815958304764,0.0533144387759137,0.07931250332099013,0.73660439611594,0.18408310056306984,0.054319964332896285,0.6651257407892103,0.2805542948778934,0.13154547768249875,0.6958039109118755,0.17265061140562565
37,test,144,1456963200.0,0.2568065396002704,0.6930005196553506,0.050192940744379126,0.07543525700448828,0.7453374273679916,0.17922731562752015,0.05119582836536238,0.6720468168099492,0.27675735482468855,0.127812541656707,0.7034615879444305,0.16872587039886264
38,test,144,1457049600.0,0.252593668404222,0.7001676412621983,0.04723869033357971,0.07171734764425854,0.7538564970319906,0.1744261553237509,0.04823675280909971,0.6788341665444574,0.2729290806464429,0.12418258961919341,0.7109527682795488,0.16486464210125784
39,test,144,1457136000.0,0.248371146252649,0.7071846268619727,0.044444226885378316,0.06815478876927142,0.7621610415010666,0.16968416972966202,0.04543541781951228,0.6854895348656833,0.2690750473148043,0.12065378428047756,0.7182784010762409,0.16106781464328154
40,test,144,1457222400.0,0.24414444872217914,0.7140532785611743,0.04180227271664664,0.06474347285911969,0.7702509946895444,0.16500553245133595,0.04278468885728891,0.6920147562307016,0.2652005549120095,0.11722420347952926,0.7254396764938068,0.15733612002666403
