window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
24,test,1277,11042.0,0.6561578929054901,0.33775079837329575,0.006091308721214208,0.0827803862289428,0.9146178437964927,0.002601769974564518,0.12463110805932522,0.7022392425020442,0.17312964943863068,0.2878564623979194,0.6515359615572776,0.060607576044803144
25,test,345,11043.0,0.6629844481271735,0.33195116910797157,0.0050643827648549225,0.07523202569710681,0.9227336919840181,0.002034282318874995,0.11815144064907512,0.715456834811069,0.16639172453985585,0.2854559714911185,0.6567138986343529,0.05783012987452859
26,test,23,11044.0,0.6696518410295332,0.3261390208665732,0.0042091381038935555,0.06831157139241532,0.93009926078165,0.0015891678259347165,0.1119137650915956,0.728305683200176,0.15978055170822852,0.2832923925045147,0.6615146549494664,0.055192952546018935
27,test,125,11045.0,0.6761744767588801,0.3203282963501597,0.003497226890960251,0.061978580938529905,0.9367809551439413,0.0012404639175286605,0.10591825737349442,0.7407758159976534,0.15330592662885217,0.2813571050236348,0.6659616891639181,0.05268120581244703
28,test,87,11046.0,0.6825644286798139,0.3145306818365025,0.0029048894836836633,0.05619271734573814,0.9428396966869749,0.0009675859672868975,0.10016410614834516,0.7528593788657746,0.14697651498588024,0.2796404173912991,0.6700765857964174,0.0502829968122836
29,test,316,11047.0,0.6888317831783192,0.30875597930545384,0.002412237516226892,0.0509144277592008,0.9483313186026,0.0007542536381992703,0.09464957955833178,0.7645505604837984,0.14079985995786964,0.27813193016528387,0.6738792861306174,0.0479887837040986
30,test,630,11048.0,0.6949849401582675,0.3030124183445279,0.0020026414972045587,0.04610543563418481,0.9533069455466413,0.0005876188191739198,0.08937209694758702,0.7758455016954061,0.13478240135700692,0.27682082424667986,0.6773882885288585,0.04579088722446181
31,test,954,11049.0,0.7010308733775374,0.2973069166285232,0.001662209993939321,0.04172908475260752,0.9578133537788651,0.0004575614685273738,0.08432830396405942,0.7867421909423522,0.12892950509358847,0.2756960873647348,0.6806208204499136,0.04368309218535172
32,test,810,11050.0,0.706975354888192,0.2916452968044663,0.0013793483073416704,0.03775056663701369,0.9618933094963665,0.0003561238666197338,0.0795141496338992,0.7972403487871258,0.12324550157897494,0.2747466903863683,0.6835929850293195,0.04166032458431212
33,test,767,11051.0,0.712823147736099,0.28603246664069554,0.0011443856232054375,0.034137057086880036,0.9655858849077724,0.00027705800534763374,0.07492496410458227,0.8073413042409184,0.11773373165449927,0.27396172297585375,0.6863198852631287,0.039718391761017435
34,test,1131,11052.0,0.7185781708303229,0.28047256837144346,0.0009492607982335936,0.030857782674198895,0.9689267525110001,0.00021546481480101546,0.07055553588360158,0.8170478654706416,0.11239659864575696,0.2733304964627078,0.6888157287843616,0.037853774752930516
35,test,1742,11053.0,0.7242436395742252,0.27496910231576027,0.0007872581100146148,0.027884033979540375,0.9719484585165188,0.00016750750394089323,0.06640018754212158,0.8263641872719956,0.10723562518588295,0.2728426203652957,0.6910939160347581,0.036063463599946145
36,test,1843,11054.0,0.72982218550046,0.269525029085674,0.0006527854138661035,0.02518913900957388,0.9746806765722311,0.0001301844181950478,0.06245284900164449,0.8352956374763187,0.10225151352203679,0.2724880578372262,0.6931671143780747,0.03434482778469932
37,test,1881,11055.0,0.7353159577981999,0.26414285402637316,0.0005411881754269161,0.022748407501669708,0.9771504430071897,0.00010114949114062869,0.05870712767127031,0.8438486642182066,0.09744420811052307,0.27225716432371333,0.6950473204172565,0.0326955152590302
38,test,1471,11056.0,0.7407267092798796,0.25882469694798044,0.00044859377214007,0.02053905459126482,0.9793823747902702,7.857061846495416e-05,0.0551563748491578,0.8520306657387013,0.09281295941214089,0.2721407129067674,0.6967459124923173,0.031113374600915306
39,test,1005,11057.0,0.7460558690163223,0.25357234970773856,0.0003717812759392012,0.018540110506732023,0.9813988713398711,6.101815339678518e-05,0.051793747940735706,0.8598498641440211,0.08835638791524336,0.2721299091545966,0.698273695063877,0.02959639578152645
40,test,909,11058.0,0.7513046035783358,0.2483873237750416,0.00030807264662255314,0.01673232149095308,0.9832203012466847,4.7377262362312537e-05,0.04861226817534147,0.8673151842897506,0.08407254753490791,0.2722163977482101,0.699640936437159,0.028142665814630926
41,test,803,11059.0,0.7564738685615646,0.2432708895510724,0.0002552418873630527,0.015098045966863354,0.9848651748970055,3.677913613111516e-05,0.04560487362033368,0.8744361387211557,0.0799589876585105,0.2723922627162539,0.7008574010564113,0.02675033622733489
42,test,1428,11060.0,0.7615644518394309,0.23822410891135098,0.0002114392492180903,0.013621149014452648,0.9863503039152381,2.8547070309166807e-05,0.042764467396103685,0.8812227193764258,0.07601281322747055,0.2726500227499958,0.701932377401005,0.025417599848999273
43,test,284,11061.0,0.766577009785001,0.23324786218529292,0.0001751280297060576,0.01228689746649456,0.9876909482834032,2.215425010225564e-05,0.040083961086204135,0.8876852965545221,0.07223074235927363,0.27298262277923324,0.7028747023410727,0.024142674879693977
