chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
63,,13,1,7,27,0.8333333333333334,0.8178368121442126
64,,15,5,5,23,0.7916666666666666,0.7857142857142857
65,,13,0,7,28,0.8541666666666666,0.8383838383838383
66,,13,0,7,28,0.8541666666666666,0.8383838383838383
67,,14,2,6,26,0.8333333333333334,0.8222222222222222
68,,14,1,6,27,0.8541666666666666,0.8426229508196721
69,,18,0,7,23,0.8541666666666666,0.8525669153137341
70,,12,1,12,23,0.7291666666666666,0.7141548327989007
71,,16,2,6,24,0.8333333333333334,0.8285714285714285
72,,13,0,7,28,0.8541666666666666,0.8383838383838383
73,,13,0,7,28,0.8541666666666666,0.8383838383838383
74,,16,3,12,17,0.6875,0.6873643074250977
75,,16,0,7,25,0.8541666666666666,0.8488529014844803
76,,12,0,8,28,0.8333333333333334,0.8125
77,,14,1,9,24,0.7916666666666666,0.7822141560798548
78,,15,3,8,22,0.7708333333333334,0.7658536585365854
79,,14,0,7,27,0.8541666666666666,0.8426229508196721
80,,14,1,9,24,0.7916666666666666,0.7822141560798548
81,,15,5,5,10,0.7142857142857143,0.7083333333333333
82,,14,0,7,27,0.8541666666666666,0.8426229508196721
83,,13,0,10,25,0.7916666666666666,0.7777777777777778
84,,15,2,9,22,0.7708333333333334,0.7658536585365854
85,,18,2,14,14,0.6666666666666666,0.6643356643356644
86,,31,0,4,12,0.9148936170212766,0.8982683982683983
87,,22,3,7,15,0.7872340425531915,0.7824074074074074
88,,14,3,11,20,0.7083333333333334,0.7037037037037037
89,,13,0,8,26,0.8297872340425532,0.8156862745098039
90,,14,0,10,24,0.7916666666666666,0.7822141560798548
91,,14,0,18,16,0.625,0.6243478260869566
92,,16,1,17,14,0.625,0.6243478260869566
93,,17,1,13,17,0.7083333333333334,0.7083333333333334
94,,19,1,12,16,0.7291666666666666,0.7281045751633988
95,,14,1,17,16,0.625,0.6243478260869566
96,,14,0,11,23,0.7708333333333334,0.7624831309041835
97,,16,0,10,22,0.7916666666666666,0.7883597883597884
98,,18,1,17,12,0.625,0.6190476190476191
99,,21,1,19,7,0.5833333333333334,0.5445920303605313
100,,14,0,11,23,0.7708333333333334,0.7624831309041835
101,,14,0,11,23,0.7708333333333334,0.7624831309041835
102,,15,0,13,20,0.7291666666666666,0.7261956998683634
