chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
106,,9,7,9,23,0.6666666666666666,0.6356736242884251
107,,17,0,18,12,0.6170212765957447,0.6126373626373627
108,,15,0,10,23,0.7916666666666666,0.7857142857142857
109,,20,0,11,17,0.7708333333333334,0.7699346405228757
110,,17,0,15,16,0.6875,0.6873643074250977
111,,24,0,14,10,0.7083333333333334,0.6812144212523719
112,,34,0,8,6,0.8333333333333334,0.7473684210526316
113,,22,0,10,16,0.7916666666666666,0.7883597883597884
114,,17,0,12,19,0.75,0.7495652173913043
115,,16,0,16,16,0.6666666666666666,0.6666666666666666
116,,22,0,9,17,0.8125,0.8104431768319438
117,,16,0,15,17,0.6875,0.6873643074250977
118,,20,0,16,12,0.6666666666666666,0.6571428571428571
119,,18,0,14,16,0.7083333333333334,0.7078260869565217
120,,16,3,7,22,0.7916666666666666,0.7883597883597884
121,,25,0,16,7,0.6666666666666666,0.6121212121212121
122,,20,0,18,10,0.625,0.6079854809437386
123,,21,0,15,12,0.6875,0.6761133603238867
124,,27,0,19,2,0.6041666666666666,0.45681953543776055
125,,27,3,6,12,0.8125,0.7922077922077921
126,,25,2,6,15,0.8333333333333334,0.8257713248638838
127,,18,0,15,14,0.6808510638297872,0.6785225718194254
128,,23,0,16,9,0.6666666666666666,0.6356736242884251
129,,17,0,17,14,0.6458333333333334,0.6444444444444444
130,,22,0,16,10,0.6666666666666666,0.6444444444444444
131,,25,0,15,8,0.6875,0.6426799007444168
132,,33,0,9,6,0.8125,0.7257142857142858
133,,20,0,15,13,0.6875,0.6807095343680709
134,,22,0,15,11,0.6875,0.6701786532295007
135,,16,0,20,12,0.5833333333333334,0.5804195804195804
136,,14,2,18,14,0.5833333333333334,0.5833333333333334
137,,26,0,21,1,0.5625,0.399642644431209
138,,16,0,18,14,0.625,0.6243478260869566
139,,25,0,15,8,0.6875,0.6426799007444168
140,,29,8,6,5,0.7083333333333334,0.6111111111111112
141,,38,5,3,0,0.8260869565217391,0.4523809523809524
142,,30,1,9,7,0.7872340425531915,0.7202380952380952
143,,23,0,13,12,0.7291666666666666,0.7141548327989007
144,,28,3,7,10,0.7916666666666666,0.7575757575757576
145,,30,0,14,3,0.7021276595744681,0.5554054054054054
146,,28,0,12,8,0.75,0.6974789915966386
147,,16,0,16,16,0.6666666666666666,0.6666666666666666
148,,27,0,18,3,0.625,0.5
149,,27,0,12,8,0.7446808510638298,0.6948051948051948
150,,18,0,22,8,0.5416666666666666,0.5208711433756805
151,,27,0,20,1,0.5833333333333334,0.4103194103194103
152,,27,0,16,4,0.6595744680851063,0.5523809523809524
153,,20,0,19,9,0.6041666666666666,0.5822262940907008
154,,30,0,14,4,0.7083333333333334,0.5872235872235873
155,,29,0,15,4,0.6875,0.5711733174508635
156,,16,0,21,11,0.5625,0.5577007459412022
157,,16,0,21,11,0.5625,0.5577007459412022
158,,22,0,18,8,0.625,0.5901328273244781
159,,18,0,16,14,0.6666666666666666,0.6643356643356644
160,,17,0,17,14,0.6458333333333334,0.6444444444444444
161,,24,0,16,8,0.6666666666666666,0.625
162,,22,0,19,6,0.5957446808510638,0.5427547363031233
163,,19,0,21,8,0.5625,0.538250114521301
164,,18,0,18,12,0.625,0.6190476190476191
165,,33,0,15,0,0.6875,0.4074074074074074
166,,20,0,16,12,0.6666666666666666,0.6571428571428571
167,,22,0,16,10,0.6666666666666666,0.6444444444444444
168,,16,1,14,17,0.6875,0.6873643074250977
169,,23,0,20,4,0.574468085106383,0.49134199134199136
170,,18,0,14,15,0.7021276595744681,0.7009090909090909
171,,18,0,14,16,0.7083333333333334,0.7078260869565217
172,,25,1,8,14,0.8125,0.8021071919377004
173,,16,0,18,14,0.625,0.6243478260869566
174,,22,1,7,17,0.8297872340425532,0.8278388278388278
175,,21,1,11,15,0.75,0.746031746031746
176,,23,0,16,9,0.6666666666666666,0.6356736242884251
177,,14,0,17,17,0.6458333333333334,0.6444444444444444
178,,14,1,12,21,0.7291666666666666,0.7232815964523283
179,,21,0,8,18,0.8297872340425532,0.8290909090909091
180,,12,3,10,23,0.7291666666666666,0.7141548327989007
181,,8,6,6,28,0.75,0.6974789915966386
182,,15,0,20,13,0.5833333333333334,0.5826086956521739
183,,16,0,17,15,0.6458333333333334,0.6456795484151108
184,,14,0,20,14,0.5833333333333334,0.5833333333333334
185,,12,0,12,24,0.75,0.7333333333333334
186,,15,2,25,6,0.4375,0.41700404858299595
187,,15,0,13,20,0.7291666666666666,0.7261956998683634
188,,9,5,5,29,0.7916666666666666,0.7478991596638656
189,,15,0,19,14,0.6041666666666666,0.6039947894051237
190,,16,0,15,16,0.6808510638297872,0.6808510638297872
191,,11,3,10,24,0.7291666666666666,0.7077283372365339
192,,12,1,16,19,0.6458333333333334,0.6381374722838138
193,,11,7,2,28,0.8125,0.7856079404466502
194,,14,0,13,21,0.7291666666666666,0.7232815964523283
195,,14,0,17,16,0.6382978723404256,0.637641723356009
196,,15,0,6,27,0.875,0.8666666666666667
197,,10,4,10,24,0.7083333333333334,0.6812144212523719
