chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
193,2020-08-22,30,22,3,4,27,1,6,17,4,0.5350877192982456,0.47039026136770495
194,2020-08-23,30,13,0,4,16,2,4,19,4,0.5434782608695652,0.48010261343594673
195,2020-08-24,39,17,1,7,15,1,7,33,16,0.5147058823529411,0.49414414414414415
196,2020-08-25,31,6,1,7,16,1,9,33,11,0.5043478260869565,0.4892694630594854
197,2020-08-26,29,11,0,5,13,2,7,45,4,0.39655172413793105,0.3790721574137465
198,2020-08-27,35,7,0,9,43,2,5,30,1,0.5984848484848485,0.48743462176297997
199,2020-08-28,48,14,1,13,24,2,7,43,6,0.4936708860759494,0.4391466040321002
200,2020-08-29,39,17,2,13,30,1,10,16,7,0.562962962962963,0.5121096863000797
201,2020-08-30,40,15,0,8,17,1,13,28,5,0.4881889763779528,0.4257705673102626
202,2020-08-31,27,9,1,13,14,3,11,26,3,0.411214953271028,0.36524210595042805
203,2020-09-01,33,15,1,6,14,0,3,28,3,0.4854368932038835,0.4156019419177314
204,2020-09-02,21,7,1,6,16,1,4,20,2,0.5,0.4393939393939394
205,2020-09-03,26,8,0,6,12,2,7,14,4,0.5316455696202531,0.4716125758989214
206,2020-09-04,27,6,1,4,22,2,3,18,3,0.6046511627906976,0.5295707472178061
207,2020-09-05,20,9,0,5,14,0,6,15,10,0.5569620253164557,0.5485665382969619
208,2020-09-06,29,9,1,7,12,1,6,22,3,0.4888888888888889,0.42122281011169904
209,2020-09-07,34,11,1,8,12,0,9,24,3,0.4803921568627451,0.403079961019644
210,2020-09-08,34,6,3,5,12,1,9,26,14,0.5454545454545454,0.5174199897358299
211,2020-09-09,22,6,0,7,11,2,1,22,4,0.49333333333333335,0.4579754293372061
212,2020-09-10,20,12,0,6,13,0,10,37,6,0.375,0.3708709263157031
